Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.021922737, 0.01613611, 0.01973629]","[8.256744, -3.847499, 1.5247636]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.017352462, -0.018770933, 0.017264366]","[8.25156, -3.8594873, 1.5243877]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.026559472, -0.012584031, -0.008579254]","[8.25598, -3.8492384, 1.5259179]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.012678534, 0.028752446, 0.0063581467]","[8.25156, -3.8594875, 1.5244081]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.021929592, -0.01370734, 0.018249512]","[8.25879, -3.8430111, 1.5174105]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.01577282, -0.01501441, -0.023137093]","[8.262085, -3.8353543, 1.519999]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.08046484, 0.045139074, 0.0012550354]","[8.25693, -3.8470051, 1.5266806]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.14822531, -0.12966865, 0.009155273]","[8.29251, -3.7632635, 1.5770895]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.044682562, -0.050162554, -0.021327019]","[8.3725, -3.5775595, 1.6157795]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.013119757, 0.050368488, 0.024762154]","[8.34912, -3.6313324, 1.6211877]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0077400208, 0.020845056, 0.009688377]","[8.365326, -3.5938747, 1.6241286]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
,,,,"[5.149629880573918e-14, 2.9704035324031844e-10]"
"[-0.030824155, -0.06869167, 0.21913815]","[8.36658, -3.590826, 1.6276777]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.008222073, -0.037302554, -0.0015697479]","[8.368805, -3.585516, 1.6351737]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.021384597, -0.03542584, 0.058395386]","[8.367584, -3.5880985, 1.6423758]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0064349174, -0.0061041117, -0.013427734]","[8.35748, -3.6115363, 1.637224]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.021991432, 0.0040290356, -0.012620926]","[8.358826, -3.6084077, 1.6378242]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, True, False]",
,,,,"[1.621130645984855e-11, 5.946062020715949e-09]"
,,,"[True, True, True]",
,,,"[True, False, False]",
"[-0.0013197362, -0.016848922, 0.023618698]","[8.34796, -3.6335638, 1.6354693]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0022093058, 0.02335167, 0.002869606]","[8.35333, -3.6214206, 1.626122]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.027766183, -0.04325807, 0.09332466]","[8.360596, -3.6048334, 1.6212493]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.006045103, -0.08540034, -0.0067415237]","[8.38098, -3.557919, 1.6188793]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.023558557, 0.066783726, -0.01630497]","[8.34186, -3.6473868, 1.6429493]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.06641245, -0.1185056, -0.009674072]","[8.3866, -3.5442286, 1.6443136]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.05646485, 0.04429066, -0.03334999]","[8.34177, -3.6483147, 1.6189722]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815367032412108e-11, -6.653291669119078e-09]"
,,,"[False, False, False]",
"[-0.040387496, -0.024203897, -0.0030565262]","[8.29761, -3.7516108, 1.5745437]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.026921213, 0.00075775385, 0.012814522]","[8.29706, -3.7535155, 1.552689]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.021627396, 0.021529496, -0.0092868805]","[8.27539, -3.8034348, 1.5554686]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.024658471, -0.034261048, 0.03786564]","[8.28558, -3.7800999, 1.551878]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.05042489, -0.018508136, 0.062285423]","[8.27673, -3.8002596, 1.5602338]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0013064742, -0.12070835, 0.11590004]","[8.27576, -3.8023074, 1.564136]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.04318413, 0.0018535256, -0.035586357]","[8.29318, -3.7629097, 1.5399599]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.023364678, 0.02618748, -0.017050743]","[8.28763, -3.7752278, 1.5551945]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.013897151, -0.0074822307, 0.028452873]","[8.29886, -3.7493157, 1.5558107]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[7.7962875e-05, 0.016973138, 0.04486561]","[8.294586, -3.7591734, 1.5558859]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.050743043, -0.06512469, -0.0061388016]","[8.309204, -3.7255669, 1.5520335]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.06560758, -0.12067109, 0.11427212]","[8.30664, -3.731591, 1.547662]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815237052426224e-11, -6.653414326712481e-09]"
,,,"[False, False, False]",
"[0.0749006, 0.051059723, 0.043302536]","[8.31293, -3.716582, 1.5630425]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.13697127, -0.08250654, 0.01085186]","[8.42651, -3.454794, 1.5540178]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.03483805, 0.09765285, -0.033276558]","[8.305695, -3.7331245, 1.5685217]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.028463006, 0.12490231, -0.2006092]","[8.34259, -3.649233, 1.5289412]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.034800112, 0.008423269, 0.035550117]","[8.30267, -3.7407188, 1.548466]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.2109442, -0.106230676, 0.19911575]","[8.32709, -3.6848602, 1.5337503]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.10370694, -1.2896818, 0.1097002]","[8.335175, -3.544066, 1.4167818]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.07435514, -0.5167605, 0.060077667]","[8.720764, -3.297595, 1.3673623]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.012327671, -0.07647562, 0.018735886]","[9.04169, -3.4447982, 1.4063487]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.040313944, 0.06006533, 0.03728199]","[9.45398, -3.4339275, 1.3889784]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.047624633, 0.16290778, -0.1027832]","[9.456665, -3.4276497, 1.3900205]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.097431496, -0.098186076, -0.075063705]","[9.46265, -3.4141984, 1.3603768]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815238237804715e-11, -6.653414403709963e-09]"
"[0.05049129, 0.049041927, 0.027676582]","[9.47629, -3.3825493, 1.3702307]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.01847905, -0.07063916, -0.01013279]","[9.5083, -3.3086298, 1.3714573]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.09007914, 0.27824062, -0.02016735]","[9.54291, -3.2288606, 1.3591202]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.006148234, -0.028824389, 0.0053901672]","[9.51135, -3.3014987, 1.3790274]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.64347774, -0.6643806, -0.48998165]","[8.77768, -3.2169378, -0.34923998]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.068663836, 0.11886901, -0.031985283]","[8.56976, -3.3459914, -0.4292647]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0063745454, 0.041603506, 0.06922531]","[8.45828, -3.3791735, -0.44198275]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.04004633, 0.036186516, -0.0002975464]","[8.44418, -3.3577404, -0.4452142]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.021656983, -0.006364405, -0.05933094]","[8.39984, -3.3742867, -0.44929954]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0011815503, 0.01747638, -0.042197227]","[8.40613, -3.3604898, -0.44189954]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.018314674, 0.022579134, -0.005900383]","[8.40643, -3.359551, -0.43080962]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.010229688, -0.00263381, 0.008582115]","[8.41632, -3.337937, -0.42512783]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.00736326, 0.004298389, 0.018968582]","[8.41556, -3.3393972, -0.41851473]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0211584, -0.0047773123, -0.036501884]","[8.40927, -3.3530385, -0.41958264]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.04636243, 0.0032396913, -0.028035164]","[8.412964, -3.3448546, -0.41303045]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.017649464, -0.025291502, -0.00829792]","[8.39072, -3.392712, -0.39996362]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[-2.68152401000399e-11, -6.653414480701689e-09]"
,,,"[False, False, False]",
"[0.020855255, -0.03205782, 0.0055599213]","[8.40698, -3.35761, -0.40383005]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.015570428, -0.005443871, -0.009444237]","[8.387024, -3.4007208, -0.40036294]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.010730188, 0.01843983, -0.0050230026]","[8.39462, -3.384194, -0.3995378]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0039300174, -0.009848237, -0.0068502426]","[8.3876, -3.399349, -0.39711446]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.017299045, 0.016022086, -0.035157204]","[8.394226, -3.385017, -0.39623162]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.00982428, 0.00788039, 0.019540787]","[8.391235, -3.3913686, -0.39451665]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.0014384761, 0.011963367, -0.004099846]","[8.39578, -3.3812675, -0.3836846]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.013466541, 0.010182142, -0.007701874]","[8.390625, -3.3925622, -0.38732025]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.017564818, -0.0001630187, -0.0036478043]","[8.39502, -3.3829033, -0.3846294]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.019424666, 0.001331687, -0.01536274]","[8.39255, -3.3881974, -0.3812404]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.009302586, 0.0055812597, -0.0031404495]","[8.39789, -3.3765643, -0.37936994]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.006548561, 0.08169323, -0.035009384]","[8.39169, -3.3903043, -0.38984984]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[-2.6815241943026624e-11, -6.653414557694111e-09]"
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.0073100366, 0.029564738, -0.012251854]","[8.38461, -3.4053452, -0.37965906]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
